#Data tag : 19v3 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
356170:8046,07/25/22 19:34:01,3,3,0.000453001,0.000291344
356309:8057,07/27/22 17:55:39,125,125,0.011885695,0.011008776
356316:8058,07/27/22 21:39:39,143,143,0.009637916,0.009401244
356321:8059,07/28/22 00:59:34,85,85,0.009828650,0.009043927
356322:8059,07/28/22 01:35:06,19,19,0.002274927,0.002060513
356323:8059,07/28/22 01:45:01,650,650,0.075959958,0.072203011
356371:8062,07/28/22 16:46:34,32,32,0.003757292,0.002784762
356375:8063,07/28/22 19:04:18,147,147,0.019933950,0.015903067
356377:8063,07/28/22 20:06:09,1,1,0.000150110,0.000024618
356378:8063,07/28/22 20:07:42,303,303,0.044487522,0.042398597
356381:8063,07/28/22 22:10:47,1193,1193,0.133197223,0.131197507
356383:8063,07/29/22 06:04:41,36,36,0.003170118,0.003031070
356384:8063,07/29/22 06:22:20,1,1,0.000087332,0.000010254
356385:8063,07/29/22 06:26:25,31,31,0.002732438,0.002491759
356386:8063,07/29/22 06:41:02,123,123,0.008899542,0.008749430
356426:8067,07/29/22 13:50:08,28,28,0.003991929,0.002701511
356427:8067,07/29/22 14:03:18,14,14,0.002194562,0.001818149
356428:8067,07/29/22 14:11:32,461,461,0.074874400,0.072009344
356431:8067,07/29/22 17:14:17,1,1,0.000169640,0.000062317
356432:8067,07/29/22 17:16:47,1,1,0.000160732,0.000040218
356433:8067,07/29/22 17:20:28,270,270,0.043115710,0.041464594
356434:8067,07/29/22 19:22:54,13,13,0.001946414,0.001713358
356435:8067,07/29/22 19:31:01,8,8,0.001189685,0.000888160
356436:8067,07/29/22 19:36:07,12,12,0.001744857,0.001703910
356446:8068,07/29/22 22:05:30,610,610,0.095431761,0.092526204
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/fb),totrecorded(/fb)
#8,25,4310,4310,0.551275364,0.525527642
#Check JSON:
#(run,ls) in json but not in results: []
